Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000091140,DLD,,1066,,,False,
ENSG00000144136,SLC20A1,,1064,,,False,
ENSG00000165272,AQP3,,1064,,,False,
ENSG00000108405,P2RX1,,1056,,,False,
ENSG00000135124,P2RX4,,1056,,,False,
ENSG00000030110,BAK1,,1010,,,False,
ENSG00000143207,COP1,"CFAP78, FAP78, FLJ10416, RFWD2, RNF200",1010,Yes,Yes,True,
ENSG00000089289,IGBP1,,1010,,,False,
ENSG00000196352,CD55,,996,,,False,
ENSG00000141458,NPC1,,982,,,False,
ENSG00000234096,MOG,,982,,,False,
ENSG00000263639,MSMB,,982,,,False,
ENSG00000143839,REN,,982,,,False,
ENSG00000105641,SLC5A5,,982,,,False,
ENSG00000128564,VGF,,982,,,False,
ENSG00000107165,TYRP1,,974,,,False,
ENSG00000171848,RRM2,,968,,,False,
ENSG00000134508,CABLES1,,958,,,False,
ENSG00000075218,GTSE1,"B99, GTSE-1",952,No,No,True,
ENSG00000042832,TG,,946,,,False,
ENSG00000109424,UCP1,,940,,,False,
ENSG00000163399,ATP1A1,,926,Yes,Yes,True,
ENSG00000105327,BBC3,"JFY1, PUMA",920,No,Yes,True,
ENSG00000173535,TNFRSF10C,,920,,,False,
ENSG00000047849,MAP4,,918,,,False,
ENSG00000115107,STEAP3,,918,,,False,
ENSG00000170836,PPM1D,"PP2C-DELTA, Wip1",918,Yes,No,True,
ENSG00000115685,PPP1R7,,918,,,False,
ENSG00000163349,HIPK1,,918,,,False,
,KAI1,,918,,,False,
ENSG00000104499,GML,,918,,,False,
ENSG00000076043,REXO2,,918,,,False,
ENSG00000184990,SIVA1,,918,,,False,
ENSG00000170633,RNF34,,918,,,False,
ENSG00000164054,SHISA5,,918,,,False,
ENSG00000177519,RPRM,,918,,,False,
ENSG00000160307,S100B,,918,,,False,
ENSG00000148773,MKI67,"MIB-1, PPP1R105",918,Yes,No,True,
ENSG00000149212,SESN3,"MGC29667, SEST3",918,No,Yes,True,
ENSG00000285069,SESN2,"DKFZp761M0212, HI95, SEST2",918,No,Yes,True,
ENSG00000080546,SESN1,"PA26, SEST1",918,No,Yes,True,
ENSG00000189067,LITAF,,918,,,False,
ENSG00000119888,EPCAM,"17-1A, 323/A3, CD326, CO-17A, EGP-2, EGP34, EGP40, Ep-CAM, GA733-2, HEA125, KS1/4, KSA, Ly74, M4S1, MH99, MIC18, MK-1, MOC31, TACST-1, TACSTD1, TROP1",918,No,Yes,True,
ENSG00000124251,TP53TG5,,918,,,False,
ENSG00000038427,VCAN,,918,,,False,
ENSG00000198830,HMGN2,,918,,,False,
ENSG00000112378,PERP,,918,,,False,
ENSG00000132274,TRIM22,,918,,,False,
ENSG00000198300,PEG3,,918,,,False,
ENSG00000095002,MSH2,"COCA1, HNPCC1",918,No,Yes,True,
ENSG00000115129,TP53I3,,918,,,False,
ENSG00000167186,COQ7,,916,,,False,
ENSG00000013441,CLK1,,916,,,False,
ENSG00000042286,AIFM2,,914,,,False,
ENSG00000132703,APCS,,914,,,False,
ENSG00000130005,GAMT,,914,,,False,
ENSG00000184254,ALDH1A3,,914,,,False,
ENSG00000101210,EEF1A2,,914,,,False,
ENSG00000240583,AQP1,,914,,,False,
ENSG00000172667,ZMAT3,,914,,,False,
ENSG00000149547,EI24,,914,,,False,
ENSG00000138764,CCNG2,,914,,,False,
,BAI1,,914,,,False,
ENSG00000169604,ANTXR1,,914,,,False,
ENSG00000141682,PMAIP1,NOXA,908,No,Yes,True,
ENSG00000198625,MDM4,"HDMX, MDMX",904,Yes,No,True,
ENSG00000177374,HIC1,,898,,,False,
ENSG00000157514,TSC22D3,,898,,,False,
ENSG00000110680,CALCA,,898,,,False,
ENSG00000165392,WRN,"RECQ3, RECQL2",890,No,Yes,True,
ENSG00000055332,EIF2AK2,,886,,,False,
ENSG00000163586,FABP1,,886,,,False,
,CDC2L2,,884,,,False,
ENSG00000117054,ACADM,,884,,,False,
ENSG00000116171,SCP2,,884,,,False,
ENSG00000162365,CYP4A22,,884,,,False,
ENSG00000065833,ME1,,884,,,False,
ENSG00000180432,CYP8B1,,884,,,False,
ENSG00000134240,HMGCS2,,884,,,False,
ENSG00000134824,FADS2,,884,,,False,
ENSG00000157184,CPT2,,884,,,False,
ENSG00000095303,PTGS1,,882,,,False,
ENSG00000176890,TYMS,,880,,,False,
ENSG00000163565,IFI16,,878,,,False,
ENSG00000087088,BAX,BCL2L4,874,No,No,True,
ENSG00000167580,AQP2,,872,,,False,
ENSG00000100979,PLTP,,872,,,False,
ENSG00000116649,SRM,,870,,,False,
ENSG00000256525,POLG2,,866,,,False,
ENSG00000070501,POLB,,862,,,False,
ENSG00000152266,PTH,,860,,,False,
ENSG00000285348,TGM1,,858,,,False,
ENSG00000183032,SLC25A21,,856,,,False,
ENSG00000174405,LIG4,,852,,,False,
ENSG00000174371,EXO1,,848,,,False,
ENSG00000122641,INHBA,,846,Yes,Yes,True,
ENSG00000142910,TINAGL1,,838,,,False,
ENSG00000158480,SPATA2,,836,,,False,
ENSG00000059377,TBXAS1,,836,,,False,
ENSG00000118520,ARG1,,834,,,False,
ENSG00000168306,ACOX2,,834,,,False,
ENSG00000087008,ACOX3,,834,,,False,
ENSG00000121769,FABP3,,834,,,False,
ENSG00000149311,ATM,"ATA, ATC, ATD, ATDC, TEL1, TELO1",830,No,Yes,True,
ENSG00000149554,CHEK1,CHK1,824,No,Yes,True,
ENSG00000124253,PCK1,,820,,,False,
ENSG00000130513,GDF15,,814,,,False,
ENSG00000110243,APOA5,,814,,,False,
,LRDD,,804,,,False,
ENSG00000146678,IGFBP1,,804,,,False,
ENSG00000091513,TF,,794,,,False,
ENSG00000175505,CLCF1,,792,,,False,
ENSG00000277603,TPO,,790,,,False,
ENSG00000173638,SLC19A1,,784,,,False,
ENSG00000183765,CHEK2,"CHK2, HuCds1, PP1425, RAD53, bA444G7",780,No,Yes,True,
,ELA2,,778,,,False,
ENSG00000129071,MBD4,,762,No,Yes,True,
ENSG00000065057,NTHL1,"NTH1, OCTS3",762,No,Yes,True,
ENSG00000205560,CPT1B,,760,,,False,
ENSG00000169169,CPT1C,,760,,,False,
ENSG00000175354,PTPN2,"PTPT, TC-PTP, TCELLPTP, TCPTP",756,No,Yes,True,
ENSG00000288299,LDHA,,756,,,False,
ENSG00000174607,UGT8,,748,,,False,
ENSG00000116809,ZBTB17,,738,,,False,
,ERO1L,,736,,,False,
ENSG00000132671,SSTR4,,732,,,False,
ENSG00000162009,SSTR5,,732,,,False,
ENSG00000278195,SSTR3,,732,,,False,
ENSG00000139874,SSTR1,,732,,,False,
ENSG00000105486,LIG1,,732,,,False,
ENSG00000115758,ODC1,,730,,,False,
ENSG00000101180,HRH3,,730,,,False,
ENSG00000134489,HRH4,,730,,,False,
ENSG00000178394,HTR1A,,728,,,False,
ENSG00000135312,HTR1B,,728,,,False,
ENSG00000179546,HTR1D,,728,,,False,
ENSG00000168830,HTR1E,,728,,,False,
ENSG00000179097,HTR1F,,728,,,False,
ENSG00000283158,MUC5AC,,726,,,False,
ENSG00000157219,HTR5A,,726,,,False,
ENSG00000087237,CETP,,722,,,False,
ENSG00000164120,HPGD,,720,,,False,
ENSG00000170835,CEL,,716,,,False,
ENSG00000125618,PAX8,,716,Yes,No,True,
ENSG00000025434,NR1H3,,714,,,False,
ENSG00000160882,CYP11B1,,714,,,False,
ENSG00000179142,CYP11B2,,714,,,False,
ENSG00000180616,SSTR2,,712,,,False,
ENSG00000125835,SNRPB,,706,,,False,
ENSG00000167910,CYP7A1,,706,,,False,
ENSG00000143977,SNRPG,,704,,,False,
ENSG00000131747,TOP2A,TOP2,704,Yes,No,True,
ENSG00000139343,SNRPF,,704,,,False,
ENSG00000182004,SNRPE,,704,,,False,
ENSG00000125743,SNRPD2,,704,,,False,
ENSG00000100028,SNRPD3,,702,,,False,
ENSG00000167088,SNRPD1,,702,,,False,
ENSG00000166825,ANPEP,,698,,,False,
ENSG00000196839,ADA,,696,,,False,
ENSG00000072274,TFRC,"CD71, TFR1, p90",696,No,No,True,
ENSG00000155368,DBI,,692,,,False,
ENSG00000167114,SLC27A4,,692,,,False,
ENSG00000130304,SLC27A1,,692,,,False,
ENSG00000145284,SCD5,,692,,,False,
ENSG00000060971,ACAA1,,692,,,False,
ENSG00000206237,HLA-DQB1,,690,,,False,
ENSG00000242515,UGT1A10,,686,,,False,
ENSG00000284832,POLR2A,,678,,,False,
ENSG00000243612,HLA-DOB,,676,,,False,
ENSG00000257017,HP,,676,,,False,
ENSG00000108622,ICAM2,,674,,,False,
ENSG00000151726,ACSL1,,672,,,False,
ENSG00000123983,ACSL3,"FACL3, PRO2194",672,No,No,True,
ENSG00000068366,ACSL4,,672,,,False,
ENSG00000197142,ACSL5,,672,,,False,
ENSG00000164398,ACSL6,"FACL6, KIAA0837, LACS5",668,No,No,True,
ENSG00000198523,PLN,,666,,,False,
ENSG00000170608,FOXA3,,666,,,False,
ENSG00000136487,GH2,,664,,,False,
ENSG00000131095,GFAP,,664,,,False,
ENSG00000188778,ADRB3,,664,,,False,
ENSG00000109099,PMP22,,662,,,False,
ENSG00000087085,ACHE,,660,,,False,
ENSG00000108518,PFN1,,658,,,False,
,ERBB2IP,,658,,,False,
ENSG00000104899,AMH,,658,,,False,
ENSG00000167468,GPX4,,658,,,False,
ENSG00000136807,CDK9,,658,,,False,
ENSG00000020633,RUNX3,,656,,,False,
ENSG00000167900,TK1,,654,,,False,
ENSG00000110090,CPT1A,,652,,,False,
ENSG00000175470,PPP2R2D,,650,,,False,
ENSG00000284137,LLGL1,,650,,,False,
ENSG00000073350,LLGL2,,650,,,False,
ENSG00000170323,FABP4,,650,,,False,
ENSG00000183918,SH2D1A,"DSHP, EBVS, IMD5, LYP, SAP, XLP, XLPD",648,No,Yes,True,
ENSG00000168209,DDIT4,,648,,,False,
ENSG00000148795,CYP17A1,"CPT7, CYP17, P450C17, S17AH",646,No,No,True,
ENSG00000197471,SPN,,644,,,False,
ENSG00000074370,ATP2A3,,644,,,False,
ENSG00000087074,PPP1R15A,,644,,,False,
ENSG00000265241,RBM8A,,642,,,False,
ENSG00000160870,CYP3A7,,642,,,False,
ENSG00000163466,ARPC2,,640,,,False,
ENSG00000111229,ARPC3,,640,,,False,
ENSG00000125351,UPF3B,,640,,,False,
ENSG00000154767,XPC,"RAD4, XPCC",640,No,Yes,True,
ENSG00000162385,MAGOH,,640,,,False,
ENSG00000184845,DRD1,,638,,,False,
ENSG00000169676,DRD5,,638,,,False,
ENSG00000241553,ARPC4,,636,,,False,
ENSG00000133226,SRRM1,,634,,,False,
ENSG00000099866,MADCAM1,,634,,,False,
ENSG00000152591,DSPP,,632,,,False,
ENSG00000102468,HTR2A,,630,,,False,
ENSG00000205937,RNPS1,,630,,,False,
ENSG00000027001,MIPEP,,630,,,False,
ENSG00000135914,HTR2B,,628,,,False,
ENSG00000164270,HTR4,,628,,,False,
ENSG00000107159,CA9,,628,,,False,
ENSG00000187048,CYP4A11,,628,,,False,
ENSG00000083312,TNPO1,,628,,,False,
ENSG00000167772,ANGPTL4,,626,,,False,
ENSG00000158748,HTR6,,626,,,False,
ENSG00000148680,HTR7,,626,,,False,
ENSG00000188690,UROS,,626,,,False,
ENSG00000161533,ACOX1,,624,,,False,
ENSG00000086696,HSD17B2,"HSD17, SDR9C2",624,No,Yes,True,
ENSG00000115306,SPTBN1,,624,,,False,
ENSG00000172379,ARNT2,,622,,,False,
ENSG00000133961,NUMB,,622,,,False,
,THOC4,,620,,,False,
ENSG00000140465,CYP1A1,,620,,,False,
ENSG00000131143,COX4I1,,620,,,False,
