Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID,check
ENSG00000170345,FOS,,-736,,,FALSE,39292359,1
ENSG00000168036,CTNNB1,"CTNNB, armadillo, beta-catenin",-737,Yes,No,TRUE,31511060,
ENSG00000143384,MCL1,"BCL2L3, Mcl-1",-755,Yes,No,TRUE,,
ENSG00000151090,THRB,,-784,,,FALSE,36722273,1
ENSG00000175387,SMAD2,"JV18-1, MADH2, MADR2",-784,No,Yes,TRUE,"36216972,  37378449",
ENSG00000166949,SMAD3,"HsT17436, JV15-2, MADH3",-784,No,Yes,TRUE,"36727462, 34392614",
ENSG00000115904,SOS1,GINGF,-793,Yes,No,TRUE,"36459180, 37042566",
ENSG00000100485,SOS2,,-793,,,FALSE,34205562,0
ENSG00000168610,STAT3,APRF,-795,Yes,No,TRUE,32972405,
ENSG00000168214,RBPJ,,-795,,,FALSE,39725730,1
ENSG00000124232,RBPJL,,-796,,,FALSE,32994998,1
ENSG00000081059,TCF7,,-797,,,FALSE,39985498,1
ENSG00000115415,STAT1,"ISGF-3, STAT91",-797,No,No,TRUE,"25267067, 29702007",
ENSG00000140009,ESR2,,-797,,,FALSE,"38513102, 35719919",1
ENSG00000185591,SP1,,-797,,,FALSE,40254586,1
ENSG00000084676,NCOA1,"F-SRC-1, KAT13A, NCoA-1, RIP160, bHLHe74",-797,No,No,TRUE,"24769444, 26287601",
ENSG00000137693,YAP1,YAP65,-797,Yes,No,TRUE,"40279065, 40274769",
ENSG00000148737,TCF7L2,TCF-4,-797,No,Yes,TRUE,40061138,
ENSG00000152284,TCF7L1,,-797,,,FALSE,38816533,1
ENSG00000091831,ESR1,"ER-alpha, ESR, Era, NR3A1",-798,Yes,No,TRUE,"31318440, 34621045, 37864956",
ENSG00000124151,NCOA3,"ACTR, AIB1, CAGH16, KAT13B, SRC-3, SRC3, TNRC16, TRAM-1, bHLHe42, p/CIP",-798,Yes,No,TRUE,"34251576, 37711895",
ENSG00000186350,RXRA,NR2B1,-798,No,No,TRUE,26494413,
ENSG00000138795,LEF1,"TCF10, TCF1ALPHA, TCF7L3",-798,Yes,No,TRUE,40103614,
ENSG00000173801,JUP,,-798,,,FALSE,39847423,2
ENSG00000177606,JUN,"AP-1, c-Jun",-800,Yes,No,TRUE,"37483616, 16259733, 17979626",
ENSG00000114315,HES1,,-801,,,FALSE,40156410,1
ENSG00000170581,STAT2,STAT113,-801,No,No,TRUE,"40264759, 40033291",
ENSG00000126561,STAT5A,STAT5,-801,Yes,No,TRUE,37196931,
ENSG00000173757,STAT5B,,-801,Yes,No,TRUE,38341429,
ENSG00000114126,TFDP2,,-801,,,FALSE,"39318640, 33773557",1
ENSG00000141646,SMAD4,"DPC4, MADH4",-801,No,Yes,TRUE,"39164192, 35863523",
ENSG00000198176,TFDP1,,-801,,,FALSE,39403723,1
ENSG00000080839,RBL1,,-801,,,FALSE,38672200,1
ENSG00000133740,E2F5,,-801,,,FALSE,39473405,1
ENSG00000100784,RPS6KA5,,-801,,,FALSE,38371530,1
ENSG00000140464,PML,"MYL, RNF71, TRIM19",-802,No,Yes,TRUE,,
ENSG00000163909,HEYL,,-802,,,FALSE,36854682,1
ENSG00000080815,PSEN1,,-802,,,FALSE,39596030,1
ENSG00000164683,HEY1,"CHF-2, CHF2, HERP2, HESR-1, HESR1, HRT-1, bHLHb31",-802,No,No,TRUE,,
ENSG00000103479,RBL2,,-802,,,FALSE,38468443,1
ENSG00000131759,RARA,NR1B1,-802,No,No,TRUE,,
ENSG00000135547,HEY2,,-802,,,FALSE,38066300,1
ENSG00000273529,HES5,,-802,,,FALSE,32055024,0
ENSG00000086102,NFX1,,-802,,,FALSE,38177283,1
ENSG00000205250,E2F4,,-802,,,FALSE,39930267,1
ENSG00000245848,CEBPA,"C/EBP-alpha, CEBP",-804,No,Yes,TRUE,40168999,
ENSG00000025434,NR1H3,,-804,,,FALSE,38557060,0
ENSG00000186951,PPARA,,-804,,,FALSE,"31154022, 36610145",1
ENSG00000197905,TEAD4,,-805,,,FALSE,"40170083, 39934701",1
ENSG00000074219,TEAD2,,-805,,,FALSE,38553612,1
ENSG00000007866,TEAD3,,-805,,,FALSE,38916835,1
ENSG00000166888,STAT6,"D12S1644, IL-4-STAT",-805,Yes,No,TRUE,40230479,
ENSG00000138378,STAT4,,-805,Yes,No,TRUE,"40223063, 40147685",
