Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000182979,MTA1,,433,,,False,
,ZA20D3,,313,,,False,
ENSG00000086200,IPO11,,289,,,False,
ENSG00000113575,PPP2CA,,275,,,False,
ENSG00000115053,NCL,,261,,,False,
ENSG00000167967,E4F1,,261,,,False,
ENSG00000148341,SH3GLB2,,257,,,False,
ENSG00000101871,MID1,,251,,,False,
ENSG00000165917,RAPSN,,245,,,False,
ENSG00000148154,UGCG,,241,,,False,
ENSG00000132698,RAB25,,241,,,False,
ENSG00000050748,MAPK9,,227,,,False,33392504
ENSG00000123080,CDKN2C,INK4C,225,No,Yes,True,
ENSG00000169220,RGS14,,215,,,False,
ENSG00000157450,RNF111,,207,,,False,
ENSG00000288362,CYP11A1,,201,,,False,
,BIRC1,,195,,,False,
ENSG00000124587,PEX6,,193,,,False,
ENSG00000169188,APEX2,,191,,,False,
ENSG00000272333,KMT2B,"CXXC10, HRX2, KIAA0304, MLL1B, MLL4, TRX2, WBP7",189,No,Yes,True,
,KIAA0256,,189,,,False,
ENSG00000156453,PCDH1,,189,,,False,
ENSG00000162522,KIAA1522,,185,,,False,
ENSG00000187555,USP7,,185,,,False,
ENSG00000099203,TMED1,,185,,,False,
ENSG00000070731,ST6GALNAC2,,185,,,False,
ENSG00000136715,SAP130,,185,,,False,
ENSG00000118495,PLAGL1,,185,,,False,
ENSG00000181894,ZNF329,,185,,,False,
ENSG00000183695,MRGPRX2,,185,,,False,
ENSG00000110851,PRDM4,,185,,,False,
ENSG00000136826,KLF4,"EZF, GKLF",181,Yes,Yes,True,
ENSG00000073282,TP63,"EEC3, KET, OFC8, SHFM4, TP53CP, TP53L, TP73L, p53CP, p63, p73H, p73L",179,Yes,Yes,True,
,TADA3L,,179,,,False,
ENSG00000151491,EPS8,,179,,,False,24106906
ENSG00000066136,NFYC,,177,,,False,
,FBXL11,,177,,,False,
,BPY2IP1,,177,,,False,
ENSG00000147996,CBWD5,,177,,,False,
ENSG00000129691,ASH2L,,175,,,False,
ENSG00000114062,UBE3A,,175,,,False,
ENSG00000128422,KRT17,,173,,,False,
,TCF8,,171,,,False,
ENSG00000182752,PAPPA,,171,,,False,
ENSG00000198625,MDM4,"HDMX, MDMX",171,Yes,No,True,
ENSG00000077097,TOP2B,,171,,,False,
ENSG00000161513,FDXR,,169,,,False,
ENSG00000198900,TOP1,,169,Yes,No,True,
ENSG00000075142,SRI,,169,,,False,
ENSG00000131096,PYY,,167,,,False,
ENSG00000096717,SIRT1,,167,,,False,
ENSG00000147010,SH3KBP1,,165,,,False,
ENSG00000196116,TDRD7,,165,,,False,
,PFC,,165,,,False,
ENSG00000162772,ATF3,,163,,,False,
ENSG00000132671,SSTR4,,159,,,False,
ENSG00000196961,AP2A1,,159,,,False,
,NP,,159,,,False,
ENSG00000142856,ITGB3BP,,159,,,False,
ENSG00000233927,RPS28,,157,,,False,
ENSG00000087586,AURKA,"AIK, ARK1, AurA, BTAK, PPP1R47, STK15, STK6",157,Yes,No,True,
ENSG00000277633,IGHG1,,157,,,False,
ENSG00000121853,GHSR,,155,,,False,
ENSG00000087086,FTL,,153,,,False,
ENSG00000160349,LCN1,,153,,,False,
ENSG00000103202,NME4,,153,,,False,
ENSG00000116016,EPAS1,"HIF2A, MOP2, PASD2, bHLHe73",151,No,No,True,
ENSG00000116903,EXOC8,,151,,,False,
ENSG00000197912,SPG7,,151,,,False,
ENSG00000134489,HRH4,,151,,,False,
,TAF9L,,149,,,False,
ENSG00000064300,NGFR,,149,,,False,
ENSG00000104408,EIF3E,"EIF3S6, INT6, eIF3-p48",149,No,No,True,
ENSG00000119138,KLF9,,149,,,False,
ENSG00000160307,S100B,,149,,,False,
,IF,,149,,,False,
ENSG00000010017,RANBP9,,149,,,False,
