Alpha_Node,Total_Support
1060P11.7,-480
HLA-A,-314
HLA-B,-212
HLA-C,-204
HLA-E,64
HLA-F,-224
HLA-G,-206
TYROBP,302
A1CF,-334
APOBEC1,-334
A2M,-428
APOA1,-360
BMP1,234
CDC42,-1276
F2,-1490
KLKB1,-674
NFKB1,-878
PLG,-796
PROC,-1118
PROS1,-634
RAC1,-418
RAC2,-814
RAC3,-804
RELA,-1148
RHOA,-1530
RHOB,-804
RHOBTB1,0
RHOBTB2,2
RHOC,-744
RHOD,12
RHOF,2
RHOG,-142
RHOH,2
RHOJ,-142
RHOQ,-38
RHOT1,2
RHOT2,0
RHOU,0
RHOV,0
STAT1,-1436
STAT3,-960
AAAS,364
BANF1,-388
CDC40,614
CPSF1,610
CPSF2,608
CPSF3,612
DDX20,-808
DHX38,618
EIF4E,-1230
GCK,198
GCKR,-84
GEMIN4,38
GEMIN5,38
GEMIN6,38
GEMIN7,38
HMGA1,104
KPNA1,-2
KPNB1,440
MAGOH,640
NCBP1,518
NCBP2,518
NUP107,114
NUP133,112
NUP153,-162
NUP155,362
NUP160,112
NUP188,366
NUP205,362
NUP210,-772
NUP214,-206
NUP35,364
NUP37,110
NUP43,112
NUP50,362
NUP54,362
NUP62,-768
NUP85,114
NUP88,364
NUP93,364
NUP98,114
NUPL1,362
NUPL2,360
NXF1,154
PHAX,-70
POM121,364
PSIP1,-386
RAE1,366
RAN,-448
RANBP2,-900
RBM8A,642
RNPS1,630
SEH1L,114
SFRS1,616
SFRS11,608
SFRS2,614
SFRS3,608
SFRS4,604
SFRS5,610
SFRS6,608
SFRS7,610
SFRS9,608
SIP1,42
SLBP,12
SMN1,42
SNRPB,706
SNRPD1,702
SNRPD2,704
SNRPD3,702
SNRPE,704
SNRPF,704
SNRPG,704
SNUPN,-22
SRRM1,634
THOC4,620
TPR,-192
U2AF1,614
U2AF2,608
UPF3B,640
XPO1,-984
AASDHPPT,-340
FASN,-438
AATF,-678
E2F1,-986
E2F2,-822
E2F3,-1000
HDAC1,-420
MAGED1,352
NGF,-1070
NGFR,-800
RB1,-858
TFDP1,-1108
ABCA1,26
JUN,-912
SP3,-1132
USF1,-952
USF2,-1100
ABCA2,270
EGR1,-910
SP4,272
ABCA7,-306
ABCB1,228
CEBPA,-890
CEBPB,-1390
EGR2,372
ETS1,-1278
HIF1A,-994
RARA,-1660
SP1,-1008
TP53,-1504
WT1,-226
ABCC3,-414
ALB,576
FABP6,-418
ABCC8,-1052
CACNA1A,-106
CACNA1B,-82
CACNA1C,542
CACNA1D,202
CACNA1E,-82
CACNA1G,206
KCNJ11,-332
ABCD1,-336
PEX19,-336
PEX3,-336
ABCD2,404
TFAP2A,-1266
ABCD3,-336
ABCG5,-334
ABCG8,-334
ABHD5,-178
PLIN,342
ABI1,-546
CYFIP2,-682
NCKAP1,-510
ABI2,-688
C3ORF10,94
CYFIP1,-676
NCKAP1L,-700
WASF1,-492
ABL1,-214
BLK,-1076
CBL,-832
CBLB,-806
CBLC,-734
CCNA2,26
CDK2,-346
CDK5,230
CRK,-986
CRKL,-646
DKFZP686N21130,46
EPHA1,366
EPHA2,-684
EPHA3,388
EPHA4,428
EPHA5,340
EPHA7,340
EPHA8,-130
EPHB1,-896
EPHB2,-1082
EPHB3,-768
EPHB4,-554
EPHB6,-98
FGR,-1196
FYN,-994
GRB2,-1302
HCK,-996
KIT,-910
LCK,-1180
LRP8,-174
LYN,-1002
MYC,-906
NTRK1,-1376
PLCG1,-1218
PXN,-956
RELN,-732
SHC1,-704
SHC2,-224
SHC3,-706
SHC4,-110
SRC,-764
STAT5A,-1474
STAT5B,-1462
TBX2,560
TERT,-1102
TP73,-638
TWIST1,558
