Alpha_Node,Total_Support
A1BG,-549
CRISP3,-549
A2M,-335
AMBP,-767
APOE,-643
APP,-573
KLK3,-853
B2M,-205
CTSB,-865
ELA1,-225
HSPA5,-277
IL1B,-465
IL10,-245
LCAT,-399
LEP,-217
LRP1,17
NGFB,-623
PAEP,-331
TGFBI,-749
ADAM19,-167
ADAMTS1,-323
SMAP,-299
ATF7IP,-593
NAT1,-759
ARD1A,33
SERPINA3,-645
CMA1,-19
CTRB1,-315
CTRL,-19
CTSG,-777
ELA2,-737
ERBB2,-299
F5,-361
KLK2,-247
MST1,-579
POLA,85
DNAJC1,-655
AAMP,-293
TH1L,-357
AANAT,-513
YWHAZ,-453
ABAT,-551
ALDH5A1,-551
ABCA1,-75
APOA1,-809
SNTB2,-281
FADD,-477
ABCA2,-631
CDK5RAP2,-55
ABCB7,-551
FECH,-551
ABCF1,-483
ITGB4BP,-253
ABCA4,-645
CNGB1,-119
ABL1,-115
ABL2,-559
ATM,-21
BCR,113
C3,-827
CBL,-421
CTNND2,-487
EPHB2,-205
XRCC6,-487
GPX1,-691
GRB2,-735
HCK,-253
INPPL1,-89
JAK1,-369
MDM2,-19
NCK1,-115
NTRK1,-99
PAK2,-437
PIK3R1,-393
PLCG1,-345
PRKDC,-11
PXN,-371
RAD9A,-275
RAN,-477
RASA1,-381
RB1,-585
RFX1,-889
ROBO1,-543
ROS1,-631
SLC9A2,-217
SRC,-625
ST5,-463
TP53,-777
TP73,-749
TUB,-119
ZAP70,-159
ADAM15,-139
WASF1,-239
PSTPIP1,-717
BCAR1,-157
RIN1,-389
ABI1,-559
ABI2,-201
SORBS1,-115
MAP4K5,43
NCSTN,-575
SH3BP1,-355
EVL,-361
PAG1,-173
YT521,-161
ABP1,-433
DNM2,-335
CAT,-751
CRK,-443
ACACA,-505
BRCA1,-359
CHGB,-547
ACAT2,-445
CDX2,-375
ACCN1,-439
ACCN2,-241
ACCN3,-363
ACHE,-539
COL4A1,-409
LGTN,-267
COLQ,-267
LAMA1,-359
ACR,-377
SERPINA5,-355
ZP2,-339
ACOX1,-247
SCP2,-409
ACP1,-415
EPHA2,-125
EPHB1,55
SFMBT1,-115
FNBP1L,-667
MRPL20,-815
ACP5,-729
EGR2,-45
GPC4,21
MAPK9,227
RPA2,-279
ZBTB16,-199
TNFSF10,-189
PDCD5,-447
WDR57,-279
C2orf18,-427
ACTA1,-109
CFL1,-733
DMD,-519
DNASE1,-677
GC,-373
GSN,-67
MYL1,-649
PFN1,-83
PRKCA,-37
RAC1,-505
SMTN,-613
FSCN1,-555
TAGLN,-613
TLN1,-685
TMSB4X,-689
TRAF3,-571
PCYT1B,-649
CCT4,-565
CCT5,-153
ACTA2,-221
ACTB,-393
ACTC,-345
ACTG1,-175
CFL2,-739
EMD,-435
FLII,-415
SMAD9,-607
NCF1,-179
NRAP,-235
P2RX7,-347
PFDN1,-383
PFN2,-185
PLD1,-603
PLD2,-541
PTN,-401
RAC2,-591
SCN10A,-357
SMARCA4,-381
SPTAN1,-259
TPM1,-287
TPM2,-183
TPM3,-297
VIL2,-399
VSNL1,-511
DNCL1,-359
CPNE1,-389
DSTN,-505
XPO6,-523
CLIC4,-459
NCALD,-765
CPNE4,-389
CPNE2,-357
ACTN4,-625
ANG,-629
EPB49,-483
HSPB1,-41
LASP1,-171
MYLK,-301
PLEC1,-93
PRKCE,-453
PTK9,-409
VCL,-719
WAS,-173
WASPIP,-713
ACTR2,-633
SYNE2,-409
SYNE1,-167
BRP44L,-463
AFAP,-297
PPP1R9B,-321
SCIN,-409
STARS,-409
ANXA5,-585
MYO1A,-677
PTPRO,-653
SH3GL2,-793
ST3GAL3,-657
BCAP31,-373
PRSS23,-727
ADORA2A,-435
ATP6V1B1,-283
CAMK2G,69
COL17A1,-691
ITGB1,-243
NEB,-443
PDLIM1,-257
MAGI1,-131
SLC9A3R2,-35
USP6NL,-181
TRIM3,-785
MYOZ2,-195
LRRC7,-385
MYOZ1,-197
ACTL6A,-241
